Question_ID,Paragraph,Type,Command_En,Command_Zh
S01,1,STAR,Make a very bored face like Emma!,做一個像 Emma 一樣覺得超級無聊的表情！
S02,1,STAR,Pretend to throw a beach ball to someone!,假裝用力丟出一顆海灘球！
S03,1,STAR,Say 'Sorry!' loudly like the little boy.,像小男孩一樣，大聲地說 'Sorry!'
S01_4,1,STAR,Pretend to hit a beach ball with your head!,假裝用頭頂一顆海灘球！
S01_5,1,STAR,Point to someone and say 'What do you want?',指著某人說 'What do you want?'
S04,2,STAR,Say 'I am the son of a pirate!' with a pirate voice! Arrr!,用海盜的聲音說 'I am the son of a pirate!' Arrr!
S05,2,STAR,Stand up and pretend to look for treasure using a telescope.,站起來，假裝拿著望遠鏡四處尋找寶藏！
S06,2,STAR,Laugh loudly like Emma did.,像 Emma 一樣大聲笑出來！
S02_4,2,STAR,Look far away like you are searching for an island!,看向遠方，就像你在尋找一座島嶼一樣！
S02_5,2,STAR,Stand up quickly and say 'OK!',快速站起來並說 'OK!'
S07,3,STAR,"Point at something BLUE in your room, just like the blue glove!",快指著你房間裡一個「藍色」的東西，就像那隻藍色手套一樣！
S08,3,STAR,Pretend to put on an old pair of glasses and look around.,假裝戴上一副舊眼鏡，然後四處看看。
S09,3,STAR,Pretend to pick up a wet glove and put it in a big bag.,假裝撿起一隻濕答答的手套，把它塞進肩膀上的大包包裡。
S03_4,3,STAR,Pretend to put a wet glove into a big bag!,假裝把一隻濕手套放進一個大袋子裡！
S03_5,3,STAR,Look down and point to some glasses!,往下看並指著一副眼鏡！
S10,4,STAR,Make an angry fish face and show your teeth!,做一個露出牙齒的「生氣魚」表情！
S11,4,STAR,Use your hands to make crab claws and snap them twice! Snap! Snap!,用你的雙手做出螃蟹的螯，然後用力夾兩下！
S12,4,STAR,Whisper 'It's dangerous here' as quietly as you can.,用最小的聲音，悄悄地說 'It's dangerous here'。
S04_4,4,STAR,Pretend to be a fish with very big teeth!,假裝是一隻有著大牙齒的魚！
S04_5,4,STAR,Put your bag down on a rock!,把你的袋子放在石頭上！
S13,5,STAR,Say 'I'm not afraid!' very bravely.,挺起胸膛，非常勇敢地說 'I'm not afraid!'
S14,5,STAR,Pretend to put a glove on your hand and reach into deep water.,假裝把手套戴上，然後把手伸進深深的水裡。
S15,5,STAR,Pretend to hook a ring using a fork. You got it!,假裝用叉子小心地勾起一枚戒指。你抓到了！
S05_4,5,STAR,Pretend to hook a ring out of the water!,假裝從水裡勾出一枚戒指！
S05_5,5,STAR,Wave goodbye to the pirate ship!,向海盜船揮手說再見！
S16,6,STAR,"Look up and look very surprised, like Emma!",抬起頭，露出非常驚訝的表情，就像 Emma 發現男孩不見時一樣！
S17,6,STAR,Pretend to open your hand to show a beautiful gold ring.,假裝慢慢打開你的手，展示裡面有一枚美麗的金戒指。
S18,6,STAR,Make a very sad face like Emma's mother.,做一個像 Emma 媽媽一樣非常難過的表情。
S19,7,STAR,Wave goodbye to the pirate ship!,開心地向遠方的海盜船揮手說再見！
S20,7,STAR,Look out of an imaginary window and smile.,看著一扇想像中的窗戶，然後給一個大大的微笑。
