Word,POS,Definition,Synonym-English 1,Synonym-Chinnese 1,Antonym-English 1,Antonym-Chinese 1,Synonym-English 2,Synonym-Chinese 2,Antonym-English 2,Antonym-Chinese 2,Phrase,Example-English 1,Example-Chinnese 1,Example-English 2,Example-Chinnese 2,Example-English 3,Example-Chinnese 3,Ex3-Pattern,Ex3-Tense,CEFR,Para
Author,n,a person who writes books,writer,作家,reader,讀者,creator,創作者,audience,觀眾,famous author,J.K. Rowling is a famous author who wrote the Harry Potter books.,J.K.羅琳是一位寫了哈利波特系列書籍的著名作家。,I want to be a famous author and write stories for children.,我想要成為一位著名的作家，為孩子們寫故事。,The famous author came to our school today.,那位著名作家今天來我們學校。,S + V + O,過去式,A1,1
Clever,adj,very smart,smart,聰明的,stupid,笨的,bright,聰明的,slow,"stupid 笨的
slow 遲鈍",clever idea,Using a mirror to see around the corner was a very clever idea.,用鏡子看角落是一個非常聰明的主意。,The scientist had a clever idea to fix the broken machine.,這位科學家有一個聰明的主意來修理壞掉的機器。,She had a clever idea for our team game.,她對我們的團隊遊戲有一個聰明的主意。,S + V + O,過去式,A1,2
During,prep,in the middle of a time,in,在…期間,before,之前,throughout,整段期間,after,"before 之前
after 之後",during the class,You should not talk to your friends loudly during the class.,你不應該在上課期間大聲和朋友說話。,The teacher asked us to take notes during the class.,老師要求我們在上課期間做筆記。,Do not talk loudly during the class.,上課期間不要大聲說話。,片語,現在簡單式,A1,2
Each,adv,every one in a group,every,每個,none,沒有,all,全部,some,一些,each student,The teacher gave an apple to each student in the classroom.,老師給教室裡的每位學生一顆蘋果。,Each student must finish their homework before going home.,每位學生必須在回家前完成他們的作業。,Each student got an apple from the teacher.,每位學生從老師那裡得到一顆蘋果。,S + V + O,過去式,A1,2
Enough,adj,as much as you need,sufficient,足夠的,little,不夠的,plenty,很多的,not enough,不足的,good enough,Your drawing is good enough to win the art contest.,你的畫作夠好，可以贏得藝術比賽。,"I practiced hard, so my piano playing is good enough for the show.",我努力練習，所以我的鋼琴演奏對這場表演來說夠好了。,This soup is not good enough for me.,這碗湯對我來說不夠好。,S + be + adj,現在簡單式,A1,2
Prepare,v,to get ready for something,get ready,準備,ignore,忽略,plan,計畫,forget,忘記,prepare for,We need to buy food and drinks to prepare for the birthday party.,我們需要買食物和飲料來為生日派對做準備。,The students study hard to prepare for the big math test.,學生們努力讀書以為大型數學考試做準備。,We must prepare for the camping trip.,我們必須為露營之旅做準備。,can / must + V,現在簡單式,A1,2
Pleased,adj,happy about something,happy,開心的,sad,難過,glad,高興的,mad,生氣,be pleased with,The teacher will be pleased with your perfect test score.,老師會對你完美的考試成績感到滿意。,My parents will be pleased with me if I clean my bedroom.,如果我打掃臥室，我的父母會對我感到滿意。,The teacher will be pleased with my work today.,老師今天會對我的作業感到滿意。,S + be + adj,未來式,A1,3
Suddenly,adv,quickly and without warning,quickly,快速,slowly,慢慢,unexpectedly,突然,finally,終於,suddenly appear,A cute rabbit will suddenly appear from the magician's hat.,一隻可愛的兔子會突然從魔術師的帽子裡出現。,Dark clouds suddenly appear in the sky before it starts to rain.,下雨前，烏雲會突然在天空中出現。,The rabbit will suddenly appear on stage.,兔子會突然出現在舞台上。,S + V + O,未來式,A1,"3, 5"
Delicious,adj,very good to eat; tastes really nice,tasty,美味的,awful,難吃的,yummy,好吃的,tasteless,無味的,delicious meal,My grandmother cooked a delicious meal with steak and potatoes for us.,我祖母為我們煮了一頓有牛排和馬鈴薯的美味餐點。,We went to a fancy restaurant to enjoy a delicious meal.,我們去了一家高級餐廳享受一頓美味的餐點。,Grandma made a delicious meal for us.,奶奶為我們做了一頓美味的餐點。,S + V + O,過去式,A1,4
Field,n,a large open place with grass,area,區域,city,城市,land,土地,indoor,室內,soccer field,The boys are running and kicking the ball on the green soccer field.,男孩們在綠色的足球場上奔跑踢球。,We will have a big match at the school soccer field tomorrow.,我們明天將在學校的足球場舉行一場大型比賽。,The soccer field is wet after the rain.,大雨後足球場是濕的。,S + be + adj,現在簡單式,A1,4
